# Fictional retail sales data for the past 30 days
date         revenue    transactions  avg_transaction  category
2025-09-01   12500.50   320            39.06            Electronics
2025-09-02   13200.75   345            38.26            Clothing
2025-09-03   11800.25   310            38.06            Home
2025-09-04   14500.00   380            38.16            Electronics
2025-09-05   18200.50   475            38.32            Electronics
2025-09-06   17800.25   460            38.70            Clothing
2025-09-07   16500.75   425            38.82            Home
2025-09-08   15800.50   410            38.54            Books
2025-09-09   17200.25   445            38.65            Electronics
2025-09-10   19500.00   505            38.61            Clothing
2025-09-11   20800.75   540            38.52            Electronics
2025-09-12   22000.50   570            38.60            Electronics
2025-09-13   20500.25   530            38.68            Home
2025-09-14   19200.75   495            38.79            Books
2025-09-15   18500.50   480            38.55            Clothing
2025-09-16   19800.25   510            38.82            Electronics
2025-09-17   23500.00   610            38.52            Electronics
2025-09-18   24800.75   645            38.45            Electronics
2025-09-19   25500.50   660            38.64            Clothing
2025-09-20   24200.25   625            38.72            Home
2025-09-21   22800.75   590            38.64            Books
2025-09-22   21500.50   555            38.74            Electronics
2025-09-23   22500.25   580            38.79            Clothing
2025-09-24   27500.00   710            38.73            Electronics
2025-09-25   29000.75   750            38.67            Electronics
2025-09-26   28500.50   735            38.78            Home
2025-09-27   27200.25   700            38.86            Books
2025-09-28   26500.75   685            38.69            Clothing
2025-09-29   25800.50   665            38.80            Electronics
2025-09-30   25200.25   650            38.77            Home
